THE DRAW TABLE. mirror board (equal decks, fresh), both careful (8), dawn duel, 896 boards a seat, seed offset 1000. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m22  defender     47.7      47.5     0.1    11.2       101         100    0
  m22  leader       58.8      36.3    22.5    11.2       100         101    0
  m22  moon         52.5      43.0     9.5    11.2       103          98    0
  m22  house        49.2      45.3     3.9    11.2        95         106    0
  m22  nobody       53.2      41.9    11.3    11.2         0           0    201
  m23  defender     51.1      54.4    -3.2     9.9        93          85    0
  m23  leader       60.6      44.0    16.6     9.9        85          93    0
  m23  moon         53.6      50.6     3.0     9.9        81          97    0
  m23  house        52.8      53.7    -0.9     9.9       102          76    0
  m23  nobody       55.9      49.2     6.7     9.9         0           0    178
  m24  defender     46.8      48.5    -1.8    10.7        85         106    0
  m24  leader       58.6      39.1    19.5    10.7       106          85    0
  m24  moon         53.9      43.4    10.5    10.7       103          88    0
  m24  house        49.8      46.4     3.3    10.7        93          98    0
  m24  nobody       52.7      43.8     8.9    10.7         0           0    191
  m25  defender     54.8      47.1     7.7    10.7       107          84    0
  m25  leader       64.2      35.2    29.0    10.7        84         107    0
  m25  moon         60.7      40.4    20.3    10.7       100          91    0
  m25  house        56.6      44.6    11.9    10.7       101          90    0
  m25  nobody       59.5      41.1    18.4    10.7         0           0    191
  m26  defender     55.4      54.6     0.8     9.9       103          74    0
  m26  leader       63.6      43.1    20.5     9.9        74         103    0
  m26  moon         58.7      49.9     8.8     9.9        91          86    0
  m26  house        56.6      53.2     3.3     9.9       102          75    0
  m26  nobody       59.5      48.8    10.7     9.9         0           0    177
  m27  defender     51.9      53.5    -1.6    10.0        90          89    0
  m27  leader       61.8      43.4    18.4    10.0        89          90    0
  m27  moon         58.0      46.5    11.5    10.0        83          96    0
  m27  house        53.6      51.9     1.7    10.0        91          88    0
  m27  nobody       56.9      48.4     8.4    10.0         0           0    179
  m28  defender     48.7      52.1    -3.5    10.9        92         103    0
  m28  leader       60.2      41.9    18.3    10.9       103          92    0
  m28  moon         53.3      46.9     6.5    10.9        87         108    0
  m28  house        50.9      50.9     0.0    10.9       101          94    0
  m28  nobody       54.4      47.0     7.4    10.9         0           0    195
