THE DRAW TABLE. mirror board (equal decks, fresh), both careful (8), dawn duel, 896 boards a seat, seed offset 1000. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m1   defender     51.0      51.8    -0.8     9.9        85          92    0
  m1   leader       61.3      42.3    19.0     9.9        92          85    0
  m1   moon         54.7      48.0     6.7     9.9        84          93    0
  m1   house        52.8      48.7     4.1     9.9        73         104    0
  m1   nobody       56.1      47.0     9.1     9.9         0           0    177
  m2   defender     51.9      56.8    -4.9    12.1       114         102    0
  m2   leader       63.3      44.1    19.2    12.1       102         114    0
  m2   moon         55.1      50.7     4.5    12.1        88         128    0
  m2   house        53.6      55.1    -1.6    12.1       114         102    0
  m2   nobody       57.6      50.4     7.1    12.1         0           0    216
  m3   defender     46.7      56.0    -9.4     9.4        87          82    0
  m3   leader       55.8      46.3     9.5     9.4        82          87    0
  m3   moon         49.6      52.1    -2.6     9.4        78          91    0
  m3   house        48.3      54.2    -5.9     9.4        86          83    0
  m3   nobody       51.2      51.2     0.1     9.4         0           0    169
  m4   defender     52.6      45.3     7.3     8.3        74          75    0
  m4   leader       60.9      37.1    23.9     8.3        75          74    0
  m4   moon         58.4      40.8    17.5     8.3        86          63    0
  m4   house        53.0      44.1     8.9     8.3        67          82    0
  m4   nobody       56.8      41.2    15.6     8.3         0           0    149
  m5   defender     49.7      54.8    -5.1    10.8       102          91    0
  m5   leader       59.8      43.4    16.4    10.8        91         102    0
  m5   moon         53.3      50.7     2.7    10.8        98          95    0
  m5   house        51.7      52.7    -1.0    10.8       101          92    0
  m5   nobody       54.7      49.1     5.6    10.8         0           0    193
  m6   defender     44.3      56.9   -12.6    10.4        98          88    0
  m6   leader       54.1      46.0     8.1    10.4        88          98    0
  m6   moon         50.2      51.8    -1.6    10.4       105          81    0
  m6   house        46.3      55.4    -9.0    10.4       102          84    0
  m6   nobody       49.2      51.5    -2.2    10.4         0           0    186
  m7   defender     48.3      51.7    -3.3    11.2       101         100    0
  m7   leader       59.5      40.4    19.1    11.2       100         101    0
  m7   moon         55.0      44.5    10.5    11.2        97         104    0
  m7   house        50.0      49.9     0.1    11.2       100         101    0
  m7   nobody       53.9      46.0     7.9    11.2         0           0    201
