THE DRAW TABLE. mirror board (equal decks, level 2), both careful (8), dawn duel, 896 boards a seat, seed offset 0. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m1   defender     52.3      45.6     6.7     8.2        69          78    0
  m1   leader       61.0      37.9    23.1     8.2        78          69    0
  m1   moon         54.7      42.5    12.2     8.2        62          85    0
  m1   house        54.1      43.9    10.3     8.2        69          78    0
  m1   nobody       56.7      41.8    14.9     8.2         0           0    147
  m2   defender     52.3      52.1     0.2     8.9        84          75    0
  m2   leader       60.7      42.7    18.0     8.9        75          84    0
  m2   moon         55.9      48.7     7.3     8.9        85          74    0
  m2   house        53.1      49.9     3.2     8.9        71          88    0
  m2   nobody       56.5      47.4     9.1     8.9         0           0    159
  m3   defender     54.5      49.2     5.2     7.6        62          75    0
  m3   leader       62.8      42.3    20.5     7.6        75          62    0
  m3   moon         57.4      46.5    10.8     7.6        64          73    0
  m3   house        56.0      48.1     7.9     7.6        66          71    0
  m3   nobody       58.6      45.8    12.9     7.6         0           0    137
  m4   defender     50.9      45.1     5.8     8.5        65          87    0
  m4   leader       60.6      37.8    22.8     8.5        87          65    0
  m4   moon         55.9      42.3    13.6     8.5        85          67    0
  m4   house        52.8      44.6     8.1     8.5        78          74    0
  m4   nobody       55.7      41.5    14.3     8.5         0           0    152
  m5   defender     49.3      48.3     1.0     8.7        79          77    0
  m5   leader       57.9      39.5    18.4     8.7        77          79    0
  m5   moon         52.1      45.9     6.3     8.7        82          74    0
  m5   house        50.6      46.7     3.9     8.7        75          81    0
  m5   nobody       53.6      43.9     9.7     8.7         0           0    156
  m6   defender     51.3      51.5    -0.1     8.8        77          80    0
  m6   leader       60.3      42.9    17.4     8.8        80          77    0
  m6   moon         55.2      46.5     8.7     8.8        68          89    0
  m6   house        52.5      50.4     2.0     8.8        78          79    0
  m6   nobody       55.8      47.2     8.6     8.8         0           0    157
  m7   defender     54.0      47.9     6.1     8.7        81          75    0
  m7   leader       62.4      38.8    23.5     8.7        75          81    0
  m7   moon         58.8      43.5    15.3     8.7        85          71    0
  m7   house        54.6      46.7     7.9     8.7        75          81    0
  m7   nobody       58.2      43.4    14.8     8.7         0           0    156
