THE DRAW TABLE. mirror board (equal decks, level 2), both careful (8), dawn duel, 896 boards a seat, seed offset 0. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m8   defender     46.9      51.0    -4.1     7.6        62          75    0
  m8   leader       55.2      44.1    11.2     7.6        75          62    0
  m8   moon         49.4      48.0     1.5     7.6        58          79    0
  m8   house        49.4      49.9    -0.4     7.6        75          62    0
  m8   nobody       51.1      47.5     3.5     7.6         0           0    137
  m9   defender     52.7      53.8    -1.1    11.3       103          99    0
  m9   leader       63.7      42.3    21.4    11.3        99         103    0
  m9   moon         60.6      46.5    14.1    11.3       109          93    0
  m9   house        54.6      52.1     2.5    11.3       105          97    0
  m9   nobody       58.2      48.0    10.2    11.3         0           0    202
  m10  defender     51.8      45.6     6.1     8.2        76          71    0
  m10  leader       59.7      37.2    22.5     8.2        71          76    0
  m10  moon         55.4      41.6    13.7     8.2        72          75    0
  m10  house        53.1      44.0     9.2     8.2        73          74    0
  m10  nobody       55.7      41.4    14.3     8.2         0           0    147
  m11  defender     51.5      54.4    -2.9     9.0        83          78    0
  m11  leader       60.2      45.1    15.1     9.0        78          83    0
  m11  moon         56.9      49.3     7.6     9.0        87          74    0
  m11  house        52.1      53.2    -1.1     9.0        79          82    0
  m11  nobody       55.8      49.7     6.1     9.0         0           0    161
  m12  defender     50.4      47.2     3.2     8.3        69          79    0
  m12  leader       59.3      39.5    19.8     8.3        79          69    0
  m12  moon         52.8      44.9     7.9     8.3        69          79    0
  m12  house        51.0      46.7     4.4     8.3        69          79    0
  m12  nobody       54.9      43.4    11.5     8.3         0           0    148
  m13  defender     47.7      47.5     0.1     8.9        76          84    0
  m13  leader       57.0      39.1    18.0     8.9        84          76    0
  m13  moon         51.7      43.6     8.0     8.9        77          83    0
  m13  house        48.7      46.2     2.5     8.9        73          87    0
  m13  nobody       52.3      43.3     9.0     8.9         0           0    160
  m14  defender     54.6      45.4     9.2     6.9        59          64    0
  m14  leader       61.7      38.8    22.9     6.9        64          59    0
  m14  moon         58.9      41.3    17.6     6.9        61          62    0
  m14  house        56.4      44.0    12.4     6.9        62          61    0
  m14  nobody       58.1      42.1    16.0     6.9         0           0    123
