THE DRAW TABLE. mirror board (equal decks, level 2), both careful (8), dawn duel, 896 boards a seat, seed offset 1000. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m15  defender     45.1      59.6   -14.5    11.5        99         107    0
  m15  leader       57.0      48.5     8.5    11.5       107          99    0
  m15  moon         52.3      52.9    -0.6    11.5       104         102    0
  m15  house        45.8      58.3   -12.5    11.5        93         113    0
  m15  nobody       51.1      54.1    -3.0    11.5         0           0    206
  m16  defender     51.6      47.1     4.5     8.1        73          73    0
  m16  leader       59.7      39.0    20.8     8.1        73          73    0
  m16  moon         57.4      42.1    15.3     8.1        80          66    0
  m16  house        53.5      45.8     7.7     8.1        78          68    0
  m16  nobody       55.6      43.0    12.6     8.1         0           0    146
  m17  defender     48.5      49.7    -1.1     9.3        76          90    0
  m17  leader       58.6      41.2    17.4     9.3        90          76    0
  m17  moon         52.6      46.9     5.7     9.3        87          79    0
  m17  house        50.3      48.5     1.8     9.3        82          84    0
  m17  nobody       53.6      45.4     8.1     9.3         0           0    166
  m18  defender     48.8      55.0    -6.3     6.8        61          60    0
  m18  leader       55.5      48.2     7.3     6.8        60          61    0
  m18  moon         52.2      50.9     1.3     6.8        55          66    0
  m18  house        49.8      53.8    -4.0     6.8        59          62    0
  m18  nobody       52.1      51.6     0.5     6.8         0           0    121
  m19  defender     52.2      50.7     1.6     7.7        63          75    0
  m19  leader       60.6      43.6    17.0     7.7        75          63    0
  m19  moon         55.9      47.4     8.5     7.7        67          71    0
  m19  house        53.8      49.4     4.4     7.7        66          72    0
  m19  nobody       56.4      47.2     9.3     7.7         0           0    138
  m20  defender     53.2      46.8     6.5     7.1        68          60    0
  m20  leader       59.9      39.2    20.8     7.1        60          68    0
  m20  moon         57.4      42.5    14.8     7.1        67          61    0
  m20  house        54.7      45.3     9.4     7.1        68          60    0
  m20  nobody       56.6      43.0    13.6     7.1         0           0    128
  m21  defender     46.2      60.9   -14.7    11.6       100         107    0
  m21  leader       58.1      49.8     8.4    11.6       107         100    0
  m21  moon         51.0      57.4    -6.4    11.6       111          96    0
  m21  house        47.7      59.5   -11.8    11.6       100         107    0
  m21  nobody       52.2      55.4    -3.2    11.6         0           0    207
