THE DRAW TABLE. mirror board (equal decks, level 2), both careful (8), dawn duel, 896 boards a seat, seed offset 1000. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m22  defender     48.5      49.4    -0.9     9.0        73          88    0
  m22  leader       58.4      41.3    17.1     9.0        88          73    0
  m22  moon         53.5      46.0     7.5     9.0        86          75    0
  m22  house        50.3      48.1     2.2     9.0        77          84    0
  m22  nobody       53.5      45.4     8.1     9.0         0           0    161
  m23  defender     48.3      53.7    -5.4     8.0        74          69    0
  m23  leader       56.0      45.4    10.6     8.0        69          74    0
  m23  moon         51.2      50.6     0.7     8.0        72          71    0
  m23  house        49.7      51.7    -2.0     8.0        68          75    0
  m23  nobody       52.2      49.6     2.6     8.0         0           0    143
  m24  defender     52.7      43.0     9.7     8.1        75          70    0
  m24  leader       60.5      34.6    25.9     8.1        70          75    0
  m24  moon         56.9      38.5    18.4     8.1        73          72    0
  m24  house        54.1      41.3    12.8     8.1        73          72    0
  m24  nobody       56.6      38.8    17.8     8.1         0           0    145
  m25  defender     53.2      48.8     4.5    10.7        91         100    0
  m25  leader       64.4      38.6    25.8    10.7       100          91    0
  m25  moon         59.8      42.5    17.3    10.7        94          97    0
  m25  house        55.2      46.5     8.7    10.7        89         102    0
  m25  nobody       58.8      43.7    15.1    10.7         0           0    191
  m26  defender     52.0      53.5    -1.5     9.4        90          79    0
  m26  leader       60.8      43.4    17.4     9.4        79          90    0
  m26  moon         56.0      49.1     6.9     9.4        87          82    0
  m26  house        52.7      52.0     0.7     9.4        83          86    0
  m26  nobody       56.4      48.4     8.0     9.4         0           0    169
  m27  defender     57.7      44.0    13.7     8.0        77          66    0
  m27  leader       65.1      35.4    29.7     8.0        66          77    0
  m27  moon         61.6      39.4    22.2     8.0        71          72    0
  m27  house        59.3      42.7    16.5     8.0        80          63    0
  m27  nobody       61.4      39.7    21.7     8.0         0           0    143
  m28  defender     49.1      45.9     3.2     8.9        70          90    0
  m28  leader       59.2      38.1    21.1     8.9        90          70    0
  m28  moon         52.3      43.5     8.8     8.9        78          82    0
  m28  house        51.5      44.0     7.5     8.9        74          86    0
  m28  nobody       54.1      42.0    12.2     8.9         0           0    160
