THE DRAW TABLE. mirror board (equal decks, fresh), both careful (8), dawn duel, 896 boards a seat, seed offset 0. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m15  defender     44.0      55.5   -11.5    11.3       101         101    0
  m15  leader       55.2      44.2    11.0    11.3       101         101    0
  m15  moon         50.1      50.1     0.0    11.3       108          94    0
  m15  house        46.5      53.9    -7.4    11.3       110          92    0
  m15  nobody       49.6      49.8    -0.2    11.3         0           0    202
  m16  defender     46.8      53.7    -6.9    10.2        79         103    0
  m16  leader       58.3      44.9    13.4    10.2       103          79    0
  m16  moon         53.7      48.2     5.5    10.2        92          90    0
  m16  house        48.3      52.6    -4.2    10.2        83          99    0
  m16  nobody       52.5      49.3     3.2    10.2         0           0    182
  m17  defender     52.1      55.7    -3.6     8.4        83          67    0
  m17  leader       59.6      46.4    13.2     8.4        67          83    0
  m17  moon         55.2      52.6     2.7     8.4        83          67    0
  m17  house        53.7      53.8    -0.1     8.4        80          70    0
  m17  nobody       55.9      51.1     4.8     8.4         0           0    150
  m18  defender     46.9      58.1   -11.3     9.4        87          81    0
  m18  leader       55.9      48.4     7.5     9.4        81          87    0
  m18  moon         51.8      51.2     0.6     9.4        69          99    0
  m18  house        49.0      57.3    -8.3     9.4        98          70    0
  m18  nobody       51.4      53.3    -1.9     9.4         0           0    168
  m19  defender     46.1      52.2    -6.1     8.6        75          79    0
  m19  leader       54.9      43.9    11.0     8.6        79          75    0
  m19  moon         50.3      49.2     1.1     8.6        86          68    0
  m19  house        47.7      50.2    -2.6     8.6        71          83    0
  m19  nobody       50.5      48.0     2.5     8.6         0           0    154
  m20  defender     47.5      56.0    -8.5     9.0        83          79    0
  m20  leader       56.4      46.8     9.6     9.0        79          83    0
  m20  moon         52.1      50.6     1.6     9.0        75          87    0
  m20  house        48.8      54.8    -6.0     9.0        83          79    0
  m20  nobody       52.0      51.4     0.6     9.0         0           0    162
  m21  defender     45.0      61.8   -16.9    11.8        97         114    0
  m21  leader       57.7      51.0     6.7    11.8       114          97    0
  m21  moon         49.2      58.3    -9.0    11.8       103         108    0
  m21  house        47.0      60.8   -13.8    11.8       106         105    0
  m21  nobody       51.3      56.4    -5.1    11.8         0           0    211
