THE DRAW TABLE. mirror board (equal decks, fresh), both careful (8), dawn duel, 896 boards a seat, seed offset 0. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m8   defender     46.2      50.9    -4.7     8.9        77          83    0
  m8   leader       55.5      42.3    13.2     8.9        83          77    0
  m8   moon         49.8      48.2     1.6     8.9        85          75    0
  m8   house        47.4      49.9    -2.5     8.9        79          81    0
  m8   nobody       50.8      46.6     4.2     8.9         0           0    160
  m9   defender     51.5      59.3    -7.8     9.8        95          80    0
  m9   leader       60.4      48.7    11.7     9.8        80          95    0
  m9   moon         57.5      52.8     4.7     9.8        91          84    0
  m9   house        52.5      57.7    -5.2     9.8        90          85    0
  m9   nobody       55.9      54.0     2.0     9.8         0           0    175
  m10  defender     52.7      53.8    -1.1     8.6        67          88    0
  m10  leader       62.5      46.3    16.2     8.6        88          67    0
  m10  moon         57.0      50.0     7.0     8.6        72          83    0
  m10  house        54.8      52.3     2.5     8.6        73          82    0
  m10  nobody       57.6      50.1     7.5     8.6         0           0    155
  m11  defender     49.3      55.1    -5.8     9.8        91          85    0
  m11  leader       58.8      45.0    13.8     9.8        85          91    0
  m11  moon         55.7      48.4     7.3     9.8        88          88    0
  m11  house        51.2      53.2    -2.0     9.8        91          85    0
  m11  nobody       54.1      50.1     4.0     9.8         0           0    176
  m12  defender     47.3      57.6   -10.3    10.7        97          94    0
  m12  leader       57.8      46.8    11.0    10.7        94          97    0
  m12  moon         50.2      54.4    -4.1    10.7        94          97    0
  m12  house        48.2      56.5    -8.3    10.7        95          96    0
  m12  nobody       52.6      52.2     0.4    10.7         0           0    191
  m13  defender     48.0      56.5    -8.5    10.7       104          88    0
  m13  leader       57.8      44.9    12.9    10.7        88         104    0
  m13  moon         54.9      49.7     5.2    10.7       105          87    0
  m13  house        49.2      55.0    -5.8    10.7       102          90    0
  m13  nobody       52.9      50.7     2.2    10.7         0           0    192
  m14  defender     46.0      48.7    -2.7     9.3        87          79    0
  m14  leader       54.8      39.0    15.8     9.3        79          87    0
  m14  moon         51.6      42.1     9.5     9.3        78          88    0
  m14  house        48.2      47.3     0.9     9.3        95          71    0
  m14  nobody       50.4      43.8     6.6     9.3         0           0    166
