THE DRAW TABLE. mirror board (equal decks, fresh), both careful (8), dawn duel, 896 boards a seat, seed offset 1000. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m15  defender     46.1      60.5   -14.4    10.9       105          90    0
  m15  leader       56.1      48.8     7.4    10.9        90         105    0
  m15  moon         52.3      55.1    -2.8    10.9       113          82    0
  m15  house        47.7      57.9   -10.3    10.9        96          99    0
  m15  nobody       51.1      54.6    -3.5    10.9         0           0    195
  m16  defender     44.9      53.6    -8.7    10.4        91          96    0
  m16  leader       55.6      43.4    12.2    10.4        96          91    0
  m16  moon         50.6      47.9     2.7    10.4        91          96    0
  m16  house        45.9      51.7    -5.8    10.4        83         104    0
  m16  nobody       50.2      48.5     1.7    10.4         0           0    187
  m17  defender     47.8      55.0    -7.3     9.0        69          93    0
  m17  leader       58.1      47.3    10.8     9.0        93          69    0
  m17  moon         51.2      53.5    -2.2     9.0        86          76    0
  m17  house        48.9      54.1    -5.2     9.0        71          91    0
  m17  nobody       53.0      51.2     1.8     9.0         0           0    162
  m18  defender     49.6      56.0    -6.5    10.0       100          80    0
  m18  leader       58.5      44.9    13.6    10.0        80         100    0
  m18  moon         54.0      48.1     5.9    10.0        69         111    0
  m18  house        50.7      54.6    -3.9    10.0        97          83    0
  m18  nobody       54.0      50.4     3.6    10.0         0           0    180
  m19  defender     48.5      54.0    -5.5     8.7        75          81    0
  m19  leader       57.6      45.6    11.9     8.7        81          75    0
  m19  moon         52.2      50.9     1.3     8.7        80          76    0
  m19  house        50.6      51.9    -1.3     8.7        74          82    0
  m19  nobody       53.1      49.8     3.2     8.7         0           0    156
  m20  defender     47.0      52.5    -5.5     9.3        83          83    0
  m20  leader       56.3      43.2    13.1     9.3        83          83    0
  m20  moon         52.1      47.2     4.9     9.3        82          84    0
  m20  house        48.1      51.7    -3.6     9.3        86          80    0
  m20  nobody       51.6      47.8     3.8     9.3         0           0    166
  m21  defender     45.6      66.1   -20.4    11.7        99         111    0
  m21  leader       58.0      55.0     3.0    11.7       111          99    0
  m21  moon         50.7      61.0   -10.4    11.7        99         111    0
  m21  house        46.8      64.7   -18.0    11.7        97         113    0
  m21  nobody       51.8      60.5    -8.7    11.7         0           0    210
