THE DRAW TABLE. mirror board (equal decks, level 2), both careful (8), dawn duel, 896 boards a seat, seed offset 1000. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m1   defender     57.0      48.1     8.9     7.3        64          66    0
  m1   leader       64.4      41.0    23.4     7.3        66          64    0
  m1   moon         59.5      44.5    15.0     7.3        54          76    0
  m1   house        59.0      47.1    11.9     7.3        73          57    0
  m1   nobody       60.7      44.5    16.2     7.3         0           0    130
  m2   defender     51.8      50.8     1.0     8.9        83          76    0
  m2   leader       60.3      41.5    18.8     8.9        76          83    0
  m2   moon         55.9      48.0     7.9     8.9        95          64    0
  m2   house        53.7      48.5     5.1     8.9        80          79    0
  m2   nobody       56.0      46.1     9.9     8.9         0           0    159
  m3   defender     52.6      47.7     4.9     8.3        76          72    0
  m3   leader       60.6      39.2    21.4     8.3        72          76    0
  m3   moon         55.7      44.5    11.2     8.3        76          72    0
  m3   house        54.9      46.8     8.1     8.3        89          59    0
  m3   nobody       56.6      43.4    13.2     8.3         0           0    148
  m4   defender     51.0      47.5     3.5     8.3        78          71    0
  m4   leader       58.9      38.8    20.1     8.3        71          78    0
  m4   moon         55.8      43.6    12.2     8.3        86          63    0
  m4   house        52.8      46.3     6.5     8.3        83          66    0
  m4   nobody       55.0      43.2    11.8     8.3         0           0    149
  m5   defender     49.3      46.2     3.1     8.5        71          81    0
  m5   leader       58.4      38.3    20.1     8.5        81          71    0
  m5   moon         52.2      44.0     8.3     8.5        77          75    0
  m5   house        50.6      45.2     5.4     8.5        73          79    0
  m5   nobody       53.9      42.2    11.6     8.5         0           0    152
  m6   defender     48.7      50.8    -2.1     8.1        76          70    0
  m6   leader       56.5      42.3    14.2     8.1        70          76    0
  m6   moon         52.9      46.1     6.8     8.1        72          74    0
  m6   house        49.7      50.0    -0.3     8.1        78          68    0
  m6   nobody       52.6      46.5     6.0     8.1         0           0    146
  m7   defender     53.7      51.6     2.1     8.7        83          73    0
  m7   leader       61.8      42.3    19.5     8.7        73          83    0
  m7   moon         57.9      46.4    11.5     8.7        75          81    0
  m7   house        54.6      50.4     4.1     8.7        81          75    0
  m7   nobody       57.8      46.9    10.8     8.7         0           0    156
