THE DRAW TABLE. mirror board (equal decks, fresh), both careful (8), dawn duel, 896 boards a seat, seed offset 0. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m1   defender     49.2      50.3    -1.1    11.4       103         101    0
  m1   leader       60.5      38.8    21.7    11.4       101         103    0
  m1   moon         54.5      46.2     8.3    11.4       113          91    0
  m1   house        51.1      48.1     3.0    11.4       100         104    0
  m1   nobody       54.9      44.6    10.3    11.4         0           0    204
  m2   defender     51.3      51.6    -0.2    10.8        92         101    0
  m2   leader       62.6      41.3    21.3    10.8       101          92    0
  m2   moon         55.4      47.8     7.6    10.8        94          99    0
  m2   house        52.9      50.4     2.5    10.8        96          97    0
  m2   nobody       57.0      46.4    10.5    10.8         0           0    193
  m3   defender     45.9      52.8    -6.9    10.2        85          97    0
  m3   leader       56.7      43.3    13.4    10.2        97          85    0
  m3   moon         49.3      49.6    -0.2    10.2        87          95    0
  m3   house        47.7      51.3    -3.7    10.2        88          94    0
  m3   nobody       51.3      48.0     3.2    10.2         0           0    182
  m4   defender     52.7      45.6     7.0     7.5        75          60    0
  m4   leader       59.4      37.3    22.1     7.5        60          75    0
  m4   moon         56.6      41.1    15.5     7.5        69          66    0
  m4   house        54.4      44.8     9.6     7.5        82          53    0
  m4   nobody       56.0      41.5    14.6     7.5         0           0    135
  m5   defender     49.7      53.3    -3.7    10.7        98          94    0
  m5   leader       60.2      42.4    17.7    10.7        94          98    0
  m5   moon         53.6      50.4     3.1    10.7       107          85    0
  m5   house        50.8      51.5    -0.7    10.7        91         101    0
  m5   nobody       54.9      47.9     7.0    10.7         0           0    192
  m6   defender     45.1      55.2   -10.2     9.6        87          85    0
  m6   leader       54.6      45.5     9.0     9.6        85          87    0
  m6   moon         50.1      49.4     0.7     9.6        80          92    0
  m6   house        46.8      53.6    -6.8     9.6        87          85    0
  m6   nobody       49.8      50.4    -0.6     9.6         0           0    172
  m7   defender     49.6      55.0    -5.5    10.5        91          97    0
  m7   leader       60.4      44.9    15.5    10.5        97          91    0
  m7   moon         55.4      49.1     6.3    10.5        90          98    0
  m7   house        51.3      53.6    -2.2    10.5        94          94    0
  m7   nobody       55.0      49.9     5.0    10.5         0           0    188
