THE DRAW TABLE. mirror board (equal decks, level 2), both careful (8), dawn duel, 896 boards a seat, seed offset 0. draws count half.
  night  form       you-lead  she-leads   seat    level%   level->you  level->sky  draws
  m15  defender     42.7      60.4   -17.6    11.4       110          95    0
  m15  leader       53.3      48.1     5.2    11.4        95         110    0
  m15  moon         47.3      53.5    -6.1    11.4        89         116    0
  m15  house        44.4      58.1   -13.7    11.4       105         100    0
  m15  nobody       48.0      54.2    -6.2    11.4         0           0    205
  m16  defender     55.2      49.6     5.7     9.0        86          75    0
  m16  leader       63.6      40.0    23.7     9.0        75          86    0
  m16  moon         60.4      43.1    17.3     9.0        74          87    0
  m16  house        58.0      47.4    10.6     9.0        92          69    0
  m16  nobody       59.4      44.8    14.7     9.0         0           0    161
  m17  defender     51.8      51.5     0.3     8.3        69          79    0
  m17  leader       60.6      43.8    16.9     8.3        79          69    0
  m17  moon         55.5      49.4     6.0     8.3        84          64    0
  m17  house        52.8      50.3     2.5     8.3        68          80    0
  m17  nobody       56.2      47.6     8.6     8.3         0           0    148
  m18  defender     47.3      54.1    -6.8     8.1        85          60    0
  m18  leader       54.0      44.6     9.4     8.1        60          85    0
  m18  moon         51.1      48.9     2.2     8.1        72          73    0
  m18  house        48.3      53.1    -4.8     8.1        85          60    0
  m18  nobody       50.7      49.4     1.3     8.1         0           0    145
  m19  defender     49.1      49.1     0.0     8.5        72          81    0
  m19  leader       58.1      41.1    17.1     8.5        81          72    0
  m19  moon         52.5      45.9     6.6     8.5        73          80    0
  m19  house        50.0      47.2     2.8     8.5        63          90    0
  m19  nobody       53.6      45.1     8.5     8.5         0           0    153
  m20  defender     53.3      47.0     6.4     8.1        69          77    0
  m20  leader       61.9      39.3    22.7     8.1        77          69    0
  m20  moon         59.2      41.7    17.4     8.1        74          72    0
  m20  house        56.3      45.3    10.9     8.1        80          66    0
  m20  nobody       57.6      43.1    14.5     8.1         0           0    146
  m21  defender     43.9      54.9   -11.0     9.0        82          80    0
  m21  leader       52.8      45.8     7.0     9.0        80          82    0
  m21  moon         48.3      52.8    -4.5     9.0       103          59    0
  m21  house        45.2      53.3    -8.1     9.0        80          82    0
  m21  nobody       48.3      50.3    -2.0     9.0         0           0    162
